#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
3936,284892951,1.46092183,0.00000609,0.00000594,133434.18856061,1.46033985,0.00000071,0.00000418,1548966.79811765,1.46092120,0.00000767,0.00000612
3937,284925600,1.24570599,0.00000007,0.00000006,5915242.62241307,1.24570540,0.00000014,0.00000011,19331618.84515900,1.24570596,0.00000051,0.00000008
3938,285181196,0.19263846,0.00000016,0.00000016,2083309.10789118,0.19263770,0.00000017,0.00000018,2197381.58108117,0.19263819,0.00000056,0.00000035
3939,286169068,0.41461876,0.00000009,0.00000009,109239.08189777,0.41461531,0.00000003,0.00000031,315663.44945183,0.41461872,0.00000332,0.00000011
3940,286169292,0.44043481,0.00000005,0.00000005,496716.86892604,0.44043233,0.00000000,0.00000283,1675355.28461049,0.44043481,0.00000006,0.00000006
3941,286310836,8.37126617,0.00113135,0.00113823,18346.73313082,8.37210957,0.00196255,0.00209859,18825.38110682,8.37158072,0.00146649,0.00170977
3942,286566392,1.44672997,0.00000096,0.00000085,5005261.99304022,1.44627777,0.00000092,0.00000082,11263478.49613221,1.44672941,0.00045157,0.00000120
3943,286923464,NaN,0.00011028,0.00004891,NaN,6.13504454,0.00001836,0.00004863,132745.66178404,6.13504454,0.00001836,0.00004863
3944,287095354,0.47898169,0.00000011,0.00000011,6040976.67094411,0.47891639,0.00000018,0.00000016,11611565.67905001,0.47898161,0.00006524,0.00000015
3945,287151976,1.57147215,0.00000590,0.00000557,9600283.44680426,1.56767640,0.00000603,0.00000827,6327703.57638535,1.56768419,0.00001173,0.00378926
3946,287174076,0.32474937,0.00000041,0.00000041,46935.65566296,0.32474693,0.00000017,0.00000029,106993.96423046,0.32474913,0.00000218,0.00000054
3947,287196418,3.69506899,0.00000759,0.00001149,271090.05789164,3.69503931,0.00002886,0.00003358,269755.65004387,3.69506365,0.00003840,0.00001516
3948,287234729,4.29048829,0.00056335,0.00058398,10487.60706855,4.28666249,0.00033795,0.00017449,10422.05412231,4.28717135,0.00067443,0.00359556
3949,288312840,0.75926507,0.00000015,0.00000015,107152312.48989758,0.75925701,0.00000438,0.00000099,105271632.34580460,0.75925928,0.00000435,0.00000586
3950,288391801,0.39058460,0.00000002,0.00000002,2556506.03091402,0.39058460,0.00000002,0.00000004,2410637.91928473,0.39058460,0.00000002,0.00000003
3951,288434140,2.71003643,0.00001099,0.00001049,35664.56834288,2.71004155,0.00000515,0.00000563,29639.36739561,2.71004010,0.00000896,0.00000693
3952,288434781,6.33459743,0.00000063,0.00000064,36919538.82690821,6.33459854,0.00000139,0.00000180,62349184.06687787,6.33459766,0.00000081,0.00000129
3953,288979840,1.52862582,0.00000319,0.00000305,1073971.43806235,1.52861377,0.00000455,0.00000525,1044443.27375171,1.52862110,0.00000951,0.00000624
