#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
0,86081744,4.33966364,0.00093810,0.00093615,13893.88039011,4.33891623,0.00054925,0.00002548,13835.27713085,4.33893526,0.00045028,0.00118761
1,13351941,NaN,0.00000086,0.00000087,NaN,1.58059293,0.00000027,0.00000031,20853510.61908037,1.58059293,0.00000027,0.00000031
2,79403459,NaN,0.00000015,0.00000015,NaN,0.43530495,0.00000010,0.00000011,14751713.48909251,0.43530495,0.00000010,0.00000011
3,119461266,NaN,0.00000179,0.00000185,NaN,2.94629688,0.00000167,0.00000167,40107853.09607573,2.94629688,0.00000167,0.00000167
4,28763683,0.89170126,0.00001154,0.00001107,24412.34188104,0.89171140,0.00000600,0.00000723,23616.13831174,0.89170777,0.00001191,0.00000875
5,64783257,3.85517708,0.00041224,0.00043986,11186.43256342,3.85509494,0.00079132,0.00060602,11669.68726046,3.85514119,0.00058543,0.00051428
6,53189332,9.29318611,0.00378894,0.00389115,11174.15427087,9.29297514,0.00000000,0.00000000,11419.24382019,9.29316736,0.00373127,0.00390267
7,86182628,29.19916562,1.66698749,2.08392411,35803.15551134,26.54404358,0.05298293,0.09054777,23838.42715702,26.61889543,0.11426911,3.15398427
8,139207681,NaN,0.00000067,0.00000066,NaN,0.49367831,0.00000021,0.00000021,304004.64187784,0.49367831,0.00000021,0.00000021
9,139252264,1.13249965,0.00002354,0.00002263,23699.69910164,NaN,NaN,NaN,31723.52401457,1.13249928,0.00002306,0.00002310
10,9209932,3.52251156,0.00037193,0.00036294,30836.02317776,3.52363156,0.00200275,0.00003829,31267.61729116,3.52268952,0.00063963,0.00096058
11,139256217,2.19889454,0.00009084,0.00009633,44776.49773819,2.19897240,0.00003639,0.00003670,41669.46650516,2.19895288,0.00009839,0.00005218
12,64904640,4.66365422,0.00019208,0.00021073,21259.29669658,4.66422225,0.00020032,0.00011745,22583.81947492,4.66393268,0.00036910,0.00034143
13,70999666,2.94431253,0.00003393,0.00003537,30636.14904778,2.94431998,0.00001931,0.00002085,28958.49122480,2.94431751,0.00002664,0.00002588
14,120258315,2.91153822,0.00000380,0.00000392,15742769.40779828,2.91161806,0.00000602,0.00000600,10657307.58452450,2.91161223,0.00007496,0.00000965
15,139303531,0.53949866,0.00007319,0.00000066,16440.98821142,0.53919532,0.00004782,0.00000000,16329.88413163,0.53944784,0.00028560,0.00005131
16,86232609,2.92190322,0.00000153,0.00000155,41575692.69874682,2.92198527,0.00000442,0.00000384,8232729.41144216,2.92198425,0.00007833,0.00000442
17,139367232,0.56328253,0.00000544,0.00000556,23632.44441807,0.56328587,0.00000247,0.00000434,23750.89653401,0.56328484,0.00000507,0.00000458
18,92902907,2.24801719,0.00002953,0.00002162,34076.03197170,2.24546746,0.00095513,0.00100709,33399.54138697,2.24767551,0.00265893,0.00035201
19,134522557,5.72805023,0.00008601,0.00008623,5711981.36789702,5.73111718,0.00000000,0.00052123,5776610.24795292,5.72810865,0.00011864,0.00338182
20,53479497,0.27128139,0.00000322,0.00000271,11998.15313877,0.27128084,0.00000205,0.00000208,11487.53758492,0.27128104,0.00000248,0.00000237
21,92902951,NaN,0.00000216,0.00000202,NaN,2.24653418,0.00000397,0.00000250,17090445.31738390,2.24653418,0.00000397,0.00000250
22,71026173,NaN,0.00000128,0.00000118,302159359.00300169,0.67950987,0.00000111,0.00000124,325739.50789359,0.67950988,0.00000110,0.00000125
23,122645363,0.53395349,0.00000125,0.00000133,99731.91866122,0.53394765,0.00001869,0.00006236,97267.02267371,0.53395337,0.00001434,0.00002572
24,31653503,NaN,0.00001318,0.00001097,NaN,6.68059482,0.00001123,0.00001084,1987340.97291535,6.68059482,0.00001123,0.00001084
25,39174351,0.57371277,0.00000762,0.00000794,15430.79674839,0.57371479,0.00000473,0.00000585,14820.34058407,0.57371414,0.00000641,0.00000661
26,9380768,1.62222746,0.00000160,0.00000150,669015.35998819,NaN,NaN,NaN,12005113.62043107,1.62222744,0.00000159,0.00000151
27,122682776,NaN,NaN,NaN,NaN,2.85788851,0.00022735,0.00045843,8577.24798998,2.85788851,0.00022735,0.00045843
28,135050395,6.75997202,0.00015797,0.00015710,130978.16563526,6.76011542,0.00021888,0.00018149,118678.55067406,6.76003640,0.00018534,0.00019356
29,57963765,0.32102135,0.00000139,0.00000167,21448.70988934,0.32101557,0.00000001,0.00000002,24147.77885178,0.32101912,0.00000356,0.00000308
30,58018570,2.02844078,0.00001942,0.00001109,145586.86105206,2.03013807,0.00028606,0.00022703,142648.72641897,2.02952818,0.00109645,0.00071971
31,120362128,1.64290571,0.00005168,0.00005288,1316706181.10953236,1.64303725,0.00001670,0.00001484,1131987.17315592,1.64303731,0.00001707,0.00001499
32,39818458,3.81537028,0.00001637,0.00002493,398026.71320392,3.81577986,0.00015773,0.00100184,1216674.95978742,3.81538075,0.00002434,0.00034567
33,29478974,12.45325985,0.00024563,0.00026622,37418.79197641,12.45554964,0.00435843,0.00309505,2184912.46376806,12.45326482,0.00025346,0.00026879
34,91961,5.28270319,0.00008085,0.00008645,17484.19408927,5.28262823,0.00005675,0.00005244,14793.36198682,5.28265458,0.00006846,0.00008611
35,135088521,NaN,NaN,NaN,NaN,16.71635638,0.02710643,0.02897575,9625.77645136,16.71635638,0.02710643,0.02897575
36,120393264,0.20930976,0.00000122,0.00000117,23372.30112474,0.20930517,0.00000107,0.00000102,24502.56445096,0.20930747,0.00000280,0.00000282
37,92938280,0.27503933,0.00000030,0.00000035,105786.06869943,0.27503718,0.00000024,0.00000036,403809.17633740,0.27503923,0.00000179,0.00000040
38,79635841,0.46555907,0.00001339,0.00001449,3322057.31706489,0.46559657,0.00004229,0.00002919,21181.37458319,0.46559652,0.00004229,0.00002928
39,127955334,3.08244145,0.00013128,0.00013138,17030.38390458,3.08240942,0.00012650,0.00005264,16897.44803595,3.08241897,0.00012334,0.00009732
40,123042728,1.31276641,0.00000053,0.00000053,7497529.98128242,1.31276200,0.00000144,0.00000088,7864709.16935815,1.31276528,0.00000396,0.00000139
41,92995573,16.52748714,0.00897402,0.00864269,15636.19224482,16.52338118,0.01507964,0.00526303,15740.59643815,16.52495658,0.01117623,0.00745470
42,139378834,0.51476356,0.00001079,0.00001055,21780.12914736,0.51474739,0.00000671,0.00000607,21545.29817769,0.51475324,0.00000981,0.00001541
43,120414806,NaN,0.00000557,0.00000563,NaN,2.55313534,0.00000404,0.00000197,2633064.74007991,2.55313534,0.00000404,0.00000197
44,9461737,0.63695704,0.00002653,0.00002723,9771.30606051,0.63705970,0.00003258,0.00002831,10050.49914248,0.63700342,0.00005942,0.00006898
45,34082428,0.43391546,0.00002063,0.00001940,13614.30750164,0.43389803,0.00001874,0.00002301,12508.93523618,0.43390697,0.00002200,0.00002203
46,128721058,5.79147210,0.00036398,0.00033935,29583.50604989,NaN,NaN,NaN,55585.69670600,5.79146970,0.00036609,0.00034606
47,93053299,0.41109020,0.00000054,0.00000061,68961717.40589981,0.41110678,0.00000081,0.00000008,4322885.61413036,0.41110671,0.00000093,0.00000014
48,9727392,4.53419253,0.00026211,0.00026541,22698.12644311,4.53379215,0.00030117,0.00035341,19650.96338054,4.53400240,0.00038682,0.00035435
49,101546875,NaN,NaN,NaN,NaN,4.68365347,0.00216309,0.00238943,8689.06422872,4.68365347,0.00216309,0.00238943
50,80025900,4.05824709,0.00007131,0.00007108,36259.96106169,4.05832327,0.00015195,0.00014646,117000.53817052,4.05825591,0.00008147,0.00009149
51,115481900,NaN,0.00011458,0.00011789,NaN,3.30607755,0.00004551,0.00005198,99387.71107099,3.30607755,0.00004551,0.00005198
52,71107089,0.35763756,0.00000040,0.00000039,599485.18620087,0.35763794,0.00000058,0.00000079,568934.28337147,0.35763772,0.00000048,0.00000064
53,29684896,1.60540922,0.00038324,0.00039376,29189.08737548,1.60611516,0.00008538,0.00046532,28399.57104834,1.60599703,0.00075847,0.00036056
54,123201494,0.28684306,0.00009340,0.00009265,34467.24803042,0.28681971,0.00002088,0.00005721,13331.81582310,0.28682443,0.00003078,0.00006709
55,71266846,0.13362021,0.00000039,0.00000039,122980.78009681,0.13361994,0.00000017,0.00000020,122811.60077407,0.13362003,0.00000024,0.00000038
56,80059889,3.03192775,0.00001004,0.00000979,312036.26884258,3.03195826,0.00000677,0.00000479,751679.88029204,3.03193291,0.00001270,0.00002489
57,120566395,0.88853992,0.00000336,0.00001012,403588.19023448,0.88863732,0.00017474,0.00024750,431267.16638733,0.88854495,0.00001115,0.00020148
58,139452314,0.34675401,0.00000036,0.00000034,3093011.19383897,0.34675195,0.00000055,0.00000055,3269376.08279121,0.34675336,0.00000165,0.00000082
59,58752825,13.68099045,0.00132022,0.00137400,1908959.43454754,13.65035198,0.00034404,0.02194444,1843552.04740022,13.67916745,0.02897971,0.00278127
60,120576722,0.78919783,0.00000924,0.00000925,12881.93992243,0.78919264,0.00001811,0.00001686,15871.96435432,0.78919623,0.00001344,0.00001191
61,31690845,NaN,0.00000684,0.00000746,NaN,0.59955083,0.00000464,0.00000443,56953.79933296,0.59955083,0.00000464,0.00000443
62,9845586,0.36011105,0.00000016,0.00000017,750408.07856861,0.36010030,0.00000118,0.00000039,928449.05253183,0.36011084,0.00001100,0.00000031
63,59025325,3.82737936,0.00072557,0.00067706,22268.68538585,3.82756610,0.00048947,0.00024757,23473.58683236,3.82748656,0.00063414,0.00040753
64,93681365,0.39602536,0.00006721,0.00006355,10706.93989820,0.39622999,0.00000000,0.00000000,10748.86809318,0.39602587,0.00006794,0.00006418
65,59038877,0.30537118,0.00000003,0.00000003,42728836.70699439,0.30537280,0.00000005,0.00000005,13626436.25722468,0.30537278,0.00000159,0.00000006
66,71330078,2.45730608,0.00002775,0.00002840,53778.91672039,2.45725404,0.00001406,0.00001360,35535.15664825,2.45726485,0.00002009,0.00004814
67,59038880,0.30537058,0.00000003,0.00000004,5492856.26382708,0.30537240,0.00000001,0.00000002,8405835.35539199,0.30537062,0.00000006,0.00000179
68,101654574,NaN,0.00127052,0.00112620,NaN,18.45929283,0.00079571,0.00078199,515584.13267772,18.45929283,0.00079571,0.00078199
69,71531463,15.33790593,0.00008876,0.00009258,80394.37686596,15.33774257,0.00011773,0.00012515,36127.01593303,15.33779808,0.00014488,0.00013469
70,123337161,0.36816684,0.00000021,0.00000022,704853.99973098,0.36816495,0.00000050,0.00000073,228395.64737128,0.36816526,0.00000071,0.00000151
71,128927089,1.88227616,0.00010497,0.00010997,13771.28785365,1.88263417,0.00001628,0.00001310,27296.48227949,1.88234946,0.00014763,0.00028537
72,59091000,14.78608393,0.00226565,0.00167042,143206.63759255,14.79456740,0.00091627,0.00097746,134257.35573459,14.79276407,0.00767352,0.00230883
73,120602501,14.86442518,0.00111594,0.00107021,17137.53958125,14.86593137,0.00158635,0.00135537,17733.16464369,14.86502606,0.00137017,0.00164108
74,29706981,0.52281304,0.00004667,0.00004625,9740.05061515,0.52348934,0.00000270,0.00000076,16183.60787420,0.52285210,0.00006954,0.00063741
75,71546916,9.86002293,0.00004393,0.00004645,48274.65320620,NaN,NaN,NaN,2474271.17888520,9.86002267,0.00004419,0.00004669
76,10048801,3.69894243,0.00096855,0.00097159,26086.80602881,3.69988575,0.00108714,0.00079356,25938.50292685,3.69937482,0.00112190,0.00104985
77,80650858,NaN,0.00000146,0.00000146,25731499.02806851,1.91585823,0.00000761,0.00000114,17110062.92414538,1.91585826,0.00000794,0.00000116
78,59739922,0.55432538,0.00000679,0.00000695,70805.44688310,NaN,NaN,NaN,82269.88138015,0.55432544,0.00000687,0.00000684
79,115980439,2.30780966,0.00003350,0.00003287,44927.57523468,2.30780178,0.00003959,0.00004162,35912.16877141,2.30780585,0.00003717,0.00003694
80,123405765,1.14971431,0.00000430,0.00000430,1162001.16512638,1.14973371,0.00000235,0.00000220,976732.34594388,1.14973042,0.00001780,0.00000448
81,10057647,NaN,0.00005173,0.00005259,NaN,16.26399530,0.00016265,0.00006857,20519969.72043147,16.26399530,0.00016265,0.00006857
82,136656542,0.65240730,0.00000077,0.00000080,366184.69728505,0.65241074,0.00000323,0.00000176,197095.38907146,0.65240867,0.00000186,0.00000331
83,94257578,1.19111261,0.00000867,0.00000891,63322.17106083,1.19115256,0.00000826,0.00000891,36581.43490696,1.19114609,0.00003499,0.00001251
84,29777922,0.53059767,0.00000027,0.00000026,156873.24458036,0.53059774,0.00000041,0.00000041,114032.06392025,0.53059770,0.00000034,0.00000035
85,94368565,15.90854095,0.00443731,0.00425943,10939.90864286,15.90999514,0.00232533,0.00213053,12136.48064935,15.90942981,0.00364653,0.00295393
86,24400247,7.21165212,0.00101526,0.00098599,45253.26907399,7.21756609,0.00000000,0.00000000,45294.81650325,7.21166097,0.00101896,0.00099931
87,10756751,3.48854693,0.00000942,0.00000971,2053630.41277877,3.48847057,0.00001135,0.00001054,1050915.15420969,3.48847825,0.00001556,0.00006954
88,60284401,NaN,0.00141985,0.00025027,NaN,10.12926450,0.00007380,0.00007652,119227.96334125,10.12926450,0.00007380,0.00007652
89,72121778,6.01181113,0.00024623,0.00024388,6879.27819211,6.01174958,0.00021771,0.00023413,7557.34814540,6.01178007,0.00023492,0.00024184
90,94637805,0.27688674,0.00000007,0.00000008,2913657.64703580,0.27688839,0.00000381,0.00000087,3435209.71490181,0.27688677,0.00000016,0.00000196
91,120689878,NaN,0.00005760,0.00006948,NaN,7.40452142,0.00003036,0.00002976,169718.30296799,7.40452142,0.00003036,0.00002976
92,139700621,0.34678847,0.00000030,0.00000031,803589.69963168,0.34678860,0.00000021,0.00000020,714876.27793704,0.34678855,0.00000027,0.00000024
93,129409890,7.35155032,0.00000690,0.00000695,1111855.82187535,7.35155571,0.00026897,0.00001755,244712661.92640999,7.35155025,0.00000710,0.00000704
94,40244907,NaN,0.00000283,0.00000282,30984469.73300960,3.31779015,0.00000194,0.00000205,10999780.82832555,3.31779017,0.00000193,0.00000204
95,116380226,15.32344867,0.00053904,0.00025300,24025.66120520,15.32322251,0.00069211,0.00093084,21885.21164240,15.32336532,0.00064568,0.00047884
96,102169275,13.10059894,0.00145099,0.00158014,14289.53527551,13.10098130,0.00041985,0.00014347,22306.21560148,13.10086259,0.00117825,0.00075932
97,123625970,0.31712903,0.00000144,0.00000118,29139.41429451,0.31711639,0.00000226,0.00000083,56082.08923611,0.31712803,0.00001182,0.00000180
98,72229825,1.79550341,0.00022691,0.00021980,6234.41328653,1.79519116,0.00023930,0.00071818,5918.68713556,1.79542794,0.00037297,0.00034486
99,94986319,16.07070456,0.00096135,0.00098014,28081.40594492,16.06996406,0.00145926,0.00122137,29352.44477603,16.07038088,0.00128572,0.00109878
100,102195674,8.75507383,0.00072519,0.00072227,38395.61339082,8.75588502,0.00095842,0.00097652,43505.80873487,8.75539188,0.00083794,0.00100315
101,24450633,0.22861088,0.00000073,0.00000070,159654.32661160,0.22860073,0.00000048,0.00000004,151430.88627728,0.22860081,0.00000031,0.00001037
102,123902605,6.21640440,0.00100739,0.00093527,13452.28410349,6.22110297,0.00250239,0.00041834,17982.39740798,6.21732650,0.00154081,0.00391300
103,120826084,3.30189149,0.00073596,0.00074499,11556.68590365,3.30087749,0.00099106,0.00124283,11381.73560494,3.30150834,0.00115000,0.00095863
104,11002748,NaN,0.00000642,0.00000622,NaN,0.77871355,0.00000613,0.00000468,48627.87517994,0.77871355,0.00000613,0.00000468
105,60655023,NaN,0.00000415,0.00000456,634207.96955338,1.11564831,0.00000687,0.00000533,1240843.15054028,1.11564834,0.00000692,0.00000537
106,139703005,NaN,0.00000018,0.00000018,NaN,0.33192192,0.00000009,0.00000009,1088936.37735533,0.33192192,0.00000009,0.00000009
107,35481236,1.84343333,0.00000061,0.00000065,567287.97148930,1.84344101,0.00000103,0.00000102,1766438.05123501,1.84343361,0.00000076,0.00000701
108,136879755,1.50150227,0.00000120,0.00000112,465630.25762932,1.50147213,0.00000091,0.00000119,7699764.22544192,1.50150218,0.00000139,0.00000119
109,129764561,2.43462350,0.00000230,0.00000239,1264754.35060794,2.43463230,0.00000181,0.00000135,2928703.82308295,2.43462490,0.00000313,0.00000730
110,31850842,2.31982230,0.00000044,0.00000037,14658368.67503486,2.31983136,0.00000101,0.00000172,19192022.50057619,2.31982275,0.00000070,0.00000919
111,35516889,0.78882608,0.00001971,0.00001909,20382.11992762,0.78882422,0.00000000,0.00000000,19230.77612477,0.78882613,0.00002032,0.00001880
112,139704026,NaN,NaN,NaN,NaN,23.18410956,0.00000000,0.04876995,17108.22641030,23.18410956,0.00000000,0.04876995
113,129781743,0.40243482,0.00000398,0.00000409,25986.51643468,0.40243603,0.00000680,0.00000663,20728.21122315,0.40243536,0.00000525,0.00000566
114,11070365,0.90193139,0.00011144,0.00011077,10432.06560137,0.90182058,0.00006948,0.00010517,10402.87331371,0.90187340,0.00009972,0.00012448
115,120893542,11.25821882,0.00035779,0.00033773,185444.06395704,11.25403078,0.00026737,0.00071545,84575.89887725,11.25446788,0.00063277,0.00374081
116,60658382,7.75414811,0.00000273,0.00000315,119371615.30840300,7.75248394,0.00000310,0.00001501,590314762.53090930,7.75414735,0.00164215,0.00000360
117,24586751,0.51283035,0.00000031,0.00000031,409829.00536938,0.51283234,0.00000045,0.00000045,422517.93148773,0.51283105,0.00000084,0.00000151
118,11113164,2.83925214,0.00000568,0.00000524,764856.15051777,NaN,NaN,NaN,9943377.25722441,2.83925210,0.00000563,0.00000540
119,102764828,0.67328563,0.00002397,0.00002211,19396.51144806,0.67296741,0.00000421,0.00000430,33911.36296514,0.67326596,0.00029916,0.00003430
120,129810365,NaN,0.00000005,0.00000005,NaN,0.29235350,0.00000152,0.00000034,10462371.23177594,0.29235350,0.00000152,0.00000034
121,35744707,0.34644777,0.00000021,0.00000021,235470.92623522,0.34644601,0.00000032,0.00000031,195503.00456302,0.34644644,0.00000061,0.00000141
122,95778110,1.53233890,0.00037428,0.00036536,6823.82518486,1.53181107,0.00000000,0.00000035,6862.32080032,1.53208155,0.00027152,0.00052014
123,35857242,3.63308882,0.00050460,0.00051098,18099.08299671,3.63404316,0.00017684,0.00032823,17433.03829314,3.63382014,0.00095053,0.00039102
124,102841799,5.26312148,0.00014308,0.00013319,76658.36681718,5.26235546,0.00019022,0.00020050,71983.29075536,5.26270080,0.00044004,0.00048104
125,36077464,0.17280330,0.00000074,0.00000081,44250.55134916,0.17280367,0.00000058,0.00000052,43700.17984302,0.17280352,0.00000072,0.00000063
126,60979860,NaN,0.00000584,0.00000557,NaN,2.38708369,0.00000147,0.00000378,3386837.62929165,2.38708369,0.00000147,0.00000378
127,86385104,2.32322141,0.00000394,0.00000366,59424.27760346,2.32322079,0.00000487,0.00000482,50263.10902754,2.32322115,0.00000453,0.00000415
128,36352297,3.01705123,0.00034785,0.00041008,10536.20218696,3.01797128,0.00031081,0.00034712,10558.16727833,3.01757245,0.00068476,0.00057141
129,86396382,1.09135460,0.00007195,0.00007051,5010.58253016,1.09135542,0.00002523,0.00003471,4074.27554949,1.09135504,0.00003905,0.00004701
130,36594985,0.98810824,0.00000429,0.00000422,147815.74561060,0.98796131,0.00006789,0.00004028,143063.65776793,0.98803669,0.00011059,0.00007348
131,96106862,5.37955477,0.00012175,0.00013021,28841.19027245,5.37956825,0.00020065,0.00020249,25595.70783072,5.37956070,0.00015775,0.00016120
132,124205037,0.33273446,0.00000007,0.00000007,1688717.46621204,0.33273556,0.00000052,0.00000041,4563706.06775060,0.33273449,0.00000009,0.00000093
133,36729364,0.32748222,0.00000024,0.00000024,1827326.44465805,0.32748290,0.00000039,0.00000038,1691678.49302623,0.32748251,0.00000040,0.00000058
134,65200579,3.92990728,0.00092073,0.00094771,18236.46399976,3.92822196,0.00038080,0.00028536,18235.34928715,3.92861819,0.00059533,0.00173909
135,11487334,0.38383720,0.00000082,0.00000079,68789.83144556,0.38384024,0.00000122,0.00000123,100799.02879062,0.38383794,0.00000127,0.00000264
136,124350360,NaN,0.00032085,0.00015077,NaN,17.11561677,0.00159454,0.00019344,45393.49765571,17.11561677,0.00159454,0.00019344
137,72782654,6.63151790,0.00001176,0.00001156,167359.63746329,6.63090870,0.00002826,0.00002763,52530203.85779396,6.63151790,0.00001179,0.00001137
138,96799506,6.54544301,0.00017494,0.00022098,22726.64608280,6.54545788,0.00010676,0.00009309,22411.11573779,6.54545338,0.00013871,0.00013988
139,11561667,NaN,NaN,NaN,NaN,3.08730035,0.00162022,0.00138944,4965.61596906,3.08730035,0.00162022,0.00138944
140,81609273,4.83259068,0.00002726,0.00002843,29048206.18561473,4.81942555,0.00000485,0.00000214,30217298.79272459,4.83253410,0.01311200,0.00007099
141,101462,4.17397633,0.00001130,0.00001141,864059.04252853,4.17288469,0.00000000,0.00000119,875391.52410310,4.17396823,0.00108272,0.00001588
142,11598102,0.42290204,0.00000017,0.00000019,430595.70861919,0.42289900,0.00000017,0.00000017,1672618.31203816,0.42290199,0.00000285,0.00000021
143,140064648,0.53975631,0.00000162,0.00000163,54057.27668723,0.53975147,0.00000077,0.00000096,50928.16297238,0.53975302,0.00000193,0.00000404
144,116853937,1.68667112,0.00002816,0.00002860,13983.13524339,1.68668339,0.00005134,0.00005994,40272.04967758,1.68667280,0.00003145,0.00003543
145,121078334,NaN,0.00000404,0.00000416,NaN,0.92856950,0.00000242,0.00000242,791655.53937285,0.92856950,0.00000242,0.00000242
146,36883123,NaN,0.00000036,0.00000038,NaN,0.33526457,0.00000015,0.00000017,1322147.81919653,0.33526457,0.00000015,0.00000017
147,124604724,0.11692060,0.00000022,0.00000022,13129.95309061,0.11692004,0.00000020,0.00000020,23046.10622740,0.11692044,0.00000043,0.00000031
148,130876312,7.93990643,0.00010659,0.00010643,182525.74461847,7.94041773,0.00016632,0.00016554,308139.65701662,7.93999031,0.00015430,0.00045452
149,24733359,NaN,0.00000039,0.00000033,NaN,0.37844594,0.00000036,0.00000032,1304657.97542327,0.37844594,0.00000036,0.00000032
150,97402522,0.80066335,0.00006809,0.00006759,20663.69182853,0.80084690,0.00044677,0.00000000,20003.81343546,0.80064987,0.00013959,0.00008580
151,61386324,0.73185415,0.00000569,0.00000565,558915.81594530,0.73185726,0.00000983,0.00000809,547236.29115080,0.73185522,0.00000698,0.00000749
152,73177813,8.81968224,0.00051381,0.00055286,125634.98239508,8.81657520,0.00093388,0.00089297,110597.14589244,8.81795303,0.00187588,0.00196376
153,124712813,0.82572214,0.00003580,0.00002916,10727.14618645,0.82569791,0.00024690,0.00003187,11229.34865201,0.82571007,0.00012214,0.00003314
154,37248140,NaN,NaN,NaN,NaN,11.50394079,0.00000000,0.00053468,9133.75195065,11.50394079,0.00000000,0.00053468
155,61505537,2.82648179,0.00039082,0.00040228,9266.41236228,2.82540878,0.00113713,0.00125429,9947.70466793,2.82624645,0.00135754,0.00060415
156,627436,NaN,0.00000170,0.00000141,NaN,0.57890725,0.00000134,0.00000136,87527.13062529,0.57890725,0.00000134,0.00000136
157,37435039,0.79975573,0.00000014,0.00000013,10504153891.91525269,0.79978483,0.00002714,0.00000302,5309373238.17367077,0.79976629,0.00001069,0.00002074
158,121119758,2.30246976,0.00004786,0.00004811,88539.92300865,2.30243729,0.00012579,0.00025888,91386.52914941,2.30246574,0.00009166,0.00010562
159,82224114,0.37612550,0.00000006,0.00000006,7209906.16560768,0.37612307,0.00000122,0.00000145,7838864.62875347,0.37612542,0.00000288,0.00000011
160,11799874,4.25793081,0.00002934,0.00003378,386771.70131840,4.25779641,0.00001402,0.00002548,283225.37799838,4.25782405,0.00003640,0.00011723
161,37601240,0.73138408,0.00000041,0.00000038,1216517.39062453,0.73138645,0.00000024,0.00000023,888022.42090707,0.73138618,0.00000222,0.00000041
162,117101700,2.73766657,0.00063003,0.00061421,16586.06500043,2.73928270,0.00066921,0.00047182,16283.50146754,2.73846432,0.00108597,0.00104628
163,121121622,NaN,0.00010668,0.00010366,NaN,4.10193417,0.00154221,0.00045836,73844.05034335,4.10193417,0.00154221,0.00045836
164,121122016,13.99362187,0.00329284,0.00323527,19433.06808065,13.96166898,-0.00000000,0.01206476,17727.07849032,13.99130418,0.02234535,0.00461150
165,37817410,NaN,0.00000332,0.00000295,NaN,2.60610479,0.00000202,0.00000349,9717269.77476977,2.60610479,0.00000202,0.00000349
166,97833468,2.28339839,0.00015725,0.00018028,685124.04379880,2.28330939,0.00012951,0.00012117,119305.80864673,2.28331997,0.00013138,0.00013476
167,131625230,2.21345749,0.00022478,0.00021942,41621.28634201,2.21247099,0.00001663,0.00005225,NaN,2.21345749,0.00022478,0.00021942
168,125267683,NaN,0.00000124,0.00000108,NaN,1.61046816,0.00000052,0.00000053,85191083.50289759,1.61046816,0.00000052,0.00000053
169,82362447,2.81180332,0.00445922,0.00487065,24659.17728582,2.82522524,0.00000000,0.00000000,7555.92744865,2.81183200,0.00452510,0.00499211
170,29848012,0.34917242,0.00000031,0.00000030,877666.77063764,0.34917465,0.00000029,0.00000216,1110307.88229293,0.34917280,0.00000057,0.00000269
171,88380001,4.43299878,0.00006813,0.00006733,70757.89380946,4.43320240,0.00004416,0.00003272,57155.76179818,4.43314706,0.00017429,0.00007362
172,38021254,0.51262275,0.00000128,0.00000109,205788.80106586,0.51262206,0.00000284,0.00000381,227547.99620691,0.51262260,0.00000210,0.00000187
173,1003831,NaN,NaN,NaN,NaN,1.65079828,0.00005387,0.00000382,10117.46801246,1.65079828,0.00005387,0.00000382
174,97908039,5.13976893,0.00215604,0.00236734,9501.23484453,NaN,NaN,NaN,9282.59620512,5.13972196,0.00210434,0.00251921
175,88459699,0.14510271,0.00000914,0.00000899,11969.97249455,0.14510386,0.00001855,0.00001147,11963.93818906,0.14510302,0.00001293,0.00001050
176,125442121,3.01802492,0.00025960,0.00025125,25847.72781522,3.01863319,0.00033135,0.00033549,24507.07054760,3.01830009,0.00040243,0.00050721
177,62257830,0.20604628,0.00000127,0.00000127,86113.37190509,0.20604642,0.00000153,0.00000149,86834.11007348,0.20604633,0.00000139,0.00000139
178,38125059,NaN,0.00025574,0.00021246,NaN,4.79252305,0.00239770,0.00983503,44028.16861414,4.79252305,0.00239770,0.00983503
179,140659978,9.44005589,0.00000782,0.00000769,1589509.03827566,9.44005871,0.00001203,0.00001207,3998592.02915544,9.44005651,0.00000873,0.00000887
180,38215399,NaN,0.00000745,0.00000741,NaN,2.43352513,0.00002704,0.00000398,284024.25531141,2.43352513,0.00002704,0.00000398
181,140209204,NaN,0.00001665,0.00001780,NaN,2.75206114,0.00001869,0.00001646,4272343.49535973,2.75206114,0.00001869,0.00001646
182,29983149,3.84181529,0.00414037,0.00450962,9013.30306495,3.84032347,0.00001117,0.00777540,8821.08625061,3.84133800,0.00135139,0.00572828
183,62573638,4.71594759,0.00003199,0.00002273,817453.61850890,4.71593331,0.00003587,0.00003635,524148.83253701,4.71593937,0.00003569,0.00003137
184,73723286,14.06541580,0.00052812,0.00054625,42546.53885793,14.06631907,0.00017433,0.00047455,46307.86470068,14.06608115,0.00094395,0.00048828
185,88589037,1.17199425,0.00023279,0.00021807,11636.19767273,NaN,NaN,NaN,7853.53930142,1.17199811,0.00023648,0.00021613
186,1103432,NaN,NaN,NaN,NaN,3.73083627,0.00069462,0.00015142,5679.06727066,3.73083627,0.00069462,0.00015142
187,98337456,11.61673079,0.00100585,0.00101865,14604.80697395,11.61465064,0.00079188,0.00096882,15460.04386183,11.61571309,0.00143241,0.00153305
188,132448273,2.25511216,0.00013160,0.00012747,24249.58903984,2.25528870,0.00034684,0.00023013,24218.87871407,2.25515779,0.00019173,0.00024851
189,98478039,0.66815597,0.00008783,0.00008585,8226.07443693,0.66830407,0.00005935,0.00005507,8140.40029009,0.66824110,0.00012569,0.00009293
